190;26;3;189;28;5;196;28;14;203;27;23;0;21;50;0;20;59;243;17;61;203;18;44;185;24;8;193;24;237;0
231;21;60;236;9;49;237;2;49;246;237;57;231;212;63;236;203;50;236;208;61;240;206;61;237;201;61;234;213;62;0
169;39;243;208;36;247;217;32;222;194;22;226;206;34;235;2;244;73;248;246;62;222;225;46;201;217;246;209;214;7;0
239;202;28;243;204;31;238;200;29;247;199;34;243;200;37;240;202;49;227;187;54;194;203;41;242;237;45;216;9;51;0
232;58;11;230;63;13;230;63;11;230;66;11;235;65;14;242;60;9;249;58;2;250;50;255;218;10;235;179;47;233;0
217;22;21;197;12;2;187;246;7;198;251;40;128;247;24;226;236;39;208;217;16;203;200;250;11;187;50;238;195;38;0
230;201;19;231;204;23;245;201;31;241;199;34;244;197;36;250;197;43;252;200;38;237;200;23;216;205;251;220;207;250;0
234;201;28;248;201;27;1;195;30;240;195;34;243;190;26;239;198;17;204;206;234;207;206;248;215;204;239;15;198;29;0
244;197;26;246;197;23;251;191;70;219;198;40;215;212;50;222;222;63;222;8;52;232;30;40;236;46;20;249;58;12;0
237;66;12;252;64;12;240;58;3;224;47;251;202;36;248;183;25;243;184;12;253;201;2;34;249;241;60;221;238;52;0
230;12;63;234;19;75;229;21;82;237;32;59;249;39;36;11;51;8;18;62;247;20;67;247;11;61;253;2;51;17;1
230;20;61;227;21;70;224;23;72;229;30;62;242;40;42;2;52;18;15;63;253;11;65;4;0;59;14;251;52;21;1
233;21;60;223;19;78;228;26;68;242;32;55;253;43;36;17;57;10;18;63;5;254;57;24;248;53;30;245;41;45;1
233;23;60;231;23;60;232;23;60;224;18;77;218;28;66;226;35;51;0;49;19;13;63;254;2;59;6;251;43;20;1
230;25;54;229;27;57;229;24;58;222;25;70;218;28;71;242;39;30;18;47;250;23;60;238;10;54;6;229;33;40;1
228;21;55;225;24;58;216;22;70;216;32;63;236;41;38;0;54;8;15;64;250;7;63;3;248;47;10;234;30;56;1
225;28;55;215;23;69;230;36;57;246;44;32;3;55;13;11;63;255;7;61;7;248;52;26;234;40;48;231;32;59;1
215;27;70;227;37;53;1;44;29;5;56;12;12;66;254;6;59;10;253;53;24;246;46;37;231;35;55;220;31;63;1
225;27;55;225;28;57;226;26;58;221;27;68;223;33;62;243;44;30;7;54;7;13;61;250;254;52;16;231;35;47;1
229;21;58;227;21;61;214;15;87;227;34;55;246;43;21;12;60;253;15;61;252;9;59;15;232;36;43;228;18;68;1
231;20;57;225;16;52;23;248;57;238;0;50;244;237;57;217;239;70;232;231;84;239;223;84;240;227;70;249;2;46;2
241;24;64;240;24;61;243;25;59;253;14;44;250;245;50;247;229;60;247;208;86;252;219;75;247;210;74;250;223;69;2
254;13;45;254;248;49;251;230;60;246;208;76;254;208;75;251;209;68;247;214;68;251;235;60;0;2;50;251;12;55;2
245;15;66;245;15;66;250;13;64;3;5;39;248;225;60;1;208;75;0;213;78;253;212;72;251;212;71;253;233;62;2
243;19;65;249;18;64;252;18;55;254;1;50;244;230;58;0;205;68;1;207;74;253;208;71;249;205;70;2;220;67;2
245;22;58;248;2;54;253;249;57;241;235;55;255;195;65;2;200;85;0;203;65;244;170;87;6;218;54;3;252;41;2
249;23;63;251;24;56;252;4;47;12;247;60;244;238;63;3;215;65;3;212;75;253;216;74;255;203;74;9;241;40;2
251;17;67;251;18;63;250;18;60;6;253;31;246;216;47;12;181;68;9;206;62;7;203;67;251;200;72;253;226;56;2
254;21;64;255;23;58;6;22;47;252;255;39;252;215;47;14;176;69;12;204;68;255;203;58;250;193;70;254;222;60;2
8;16;48;3;252;38;250;206;65;6;191;64;6;199;58;9;202;55;6;195;65;1;198;68;11;240;53;5;8;40;2
3;24;72;253;41;70;5;39;50;248;16;59;8;13;45;48;248;36;55;253;24;58;1;37;35;4;47;13;9;51;3
254;15;65;253;14;65;252;15;71;3;16;67;42;2;42;51;251;27;56;251;28;56;252;32;39;255;48;17;4;58;3
251;10;66;253;10;67;251;10;69;17;13;62;51;252;38;58;246;29;60;245;25;57;246;28;57;248;35;34;255;46;3
255;8;68;2;7;67;7;14;59;54;0;44;54;248;24;60;243;20;58;243;21;56;246;25;47;248;41;27;4;54;3
249;7;68;250;7;68;252;9;62;49;3;38;54;251;29;59;247;28;57;246;25;57;250;35;41;255;48;2;5;59;3
251;7;68;252;8;67;249;9;69;36;9;48;48;3;38;53;249;28;60;244;21;62;246;21;62;244;28;42;250;41;3
247;9;70;250;7;66;248;9;70;16;11;67;39;254;38;63;249;24;57;249;20;59;249;22;58;248;27;60;249;39;3
247;4;72;249;5;69;239;5;67;30;4;38;55;249;27;62;244;25;56;246;24;58;247;26;66;248;35;41;254;46;3
248;6;67;245;7;66;238;8;68;46;5;44;57;249;31;58;248;30;55;251;31;58;253;37;21;4;54;18;6;60;3
244;9;64;239;8;70;7;11;59;40;4;39;52;251;30;59;248;27;58;249;31;41;254;43;27;5;55;247;9;61;3
0;11;66;255;13;65;216;11;54;199;15;26;184;17;6;187;18;0;185;18;2;190;17;18;209;14;45;252;16;58;4
244;10;55;191;13;15;188;18;1;187;19;250;187;18;247;186;18;5;202;15;37;249;16;56;13;12;66;6;12;67;4
1;13;66;4;14;67;0;13;66;213;7;37;188;17;7;186;19;253;185;18;253;189;16;14;206;14;42;4;14;61;4
2;9;60;196;12;34;184;13;1;187;15;254;187;15;251;184;16;250;201;17;24;227;13;54;3;16;60;12;9;69;4
7;12;66;6;11;67;3;13;67;219;8;53;200;10;27;183;14;252;185;14;252;186;13;1;197;12;30;236;18;53;4
2;13;66;2;12;67;7;15;67;197;3;24;185;12;0;186;16;250;186;16;253;192;14;17;202;13;37;227;15;52;4
1;14;65;3;13;66;255;13;65;235;11;58;182;11;8;186;15;247;186;17;248;185;16;255;195;15;26;212;12;46;4
8;15;67;226;12;60;198;10;28;185;12;2;186;17;255;185;16;254;196;13;20;217;13;48;250;17;55;4;10;68;4
1;11;66;2;11;67;7;12;70;240;11;54;187;11;20;187;14;2;187;16;250;186;16;251;190;15;7;202;14;30;4
6;13;68;248;13;62;212;5;42;189;9;14;188;14;247;182;13;240;188;15;247;193;14;12;202;13;35;244;17;49;4
0;12;66;1;14;66;6;12;61;204;7;26;190;12;241;197;27;225;206;34;220;212;31;222;212;31;221;214;30;219;5
14;15;67;241;15;58;200;9;22;190;15;241;198;21;224;208;26;215;215;28;213;217;28;213;219;27;213;221;27;214;5
11;11;68;7;12;67;12;16;65;251;11;61;225;7;44;189;11;243;198;19;225;206;29;217;212;30;214;218;27;214;5
10;15;65;17;14;65;245;10;58;211;11;38;191;12;255;195;18;226;202;23;222;205;29;218;211;27;214;218;27;214;5
11;13;65;1;12;59;212;8;42;192;13;15;193;14;240;196;16;222;207;25;215;215;32;213;220;27;211;218;29;212;5
16;14;68;14;10;65;222;10;53;208;9;44;191;15;14;191;21;237;201;22;220;212;30;213;218;30;213;220;30;213;5
11;9;67;11;12;65;16;11;67;229;8;56;207;4;35;189;11;252;188;15;229;200;19;224;211;25;218;213;27;218;5
10;11;69;11;10;67;11;7;66;227;8;60;218;6;48;201;8;14;195;11;217;197;20;220;208;28;213;216;26;210;5
5;11;63;2;10;62;6;6;65;212;11;45;192;9;11;185;19;223;206;25;213;213;26;209;221;26;211;223;24;208;5
17;10;64;6;8;64;225;4;55;201;5;37;192;8;4;190;16;226;202;24;217;215;31;213;225;29;210;221;27;209;5
